,phylum,class,order,family,genus,species
0,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomycetaceae,Actinomycetaceae
1,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus
2,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas
3,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia
4,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis et rel.
5,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Allistipes et rel.
6,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum
7,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Anaerofustis,Anaerofustis
8,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae et rel.
9,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis et rel.
10,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovorax,Anaerovorax odorimutans et rel.
11,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus
12,Pseudomonadota,Betaproteobacteria,Burkholderiales,Aquabacterium,Aquabacterium,Aquabacterium
13,Mycoplasmatota,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma et rel.
14,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium
15,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus
16,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis et rel.
17,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis et rel.
18,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus et rel.
19,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides plebeius et rel.
20,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides splachnicus et rel.
21,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris et rel.
22,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis et rel.
23,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus et rel.
24,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
25,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila et rel.
26,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira
27,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Bryantella formatexigens et rel.
28,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia moorei et rel.
29,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia
30,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus et rel.
31,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter
32,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Catenibacterium mitsuokai et rel.
33,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium (sensu stricto)
34,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium cellulosi et rel.
35,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium colinum et rel.
36,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium difficile et rel.
37,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium felsineum et rel.
38,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium leptum et rel.
