,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,18.179628520346366,positive,Actinomycetaceae
1,PC1,2,0.7384069823989803,positive,Aerococcus
2,PC1,3,0.008380979003517502,positive,Aeromonas
3,PC1,4,580.692485767237,negative,Akkermansia
4,PC1,5,1.1513547620940732,negative,Alcaligenes faecalis et rel.
5,PC1,6,138.4802589164579,negative,Allistipes et rel.
6,PC1,7,0.7065114255731908,positive,Anaerobiospirillum
7,PC1,8,1.4747570974824877,negative,Anaerofustis
8,PC1,9,2386.9329418012003,negative,Anaerostipes caccae et rel.
9,PC1,10,71.09547197453327,positive,Anaerotruncus colihominis et rel.
10,PC1,11,37.47956321214368,negative,Anaerovorax odorimutans et rel.
11,PC1,12,2.3334777590803437,positive,Aneurinibacillus
12,PC1,13,1.0280389342904468,negative,Aquabacterium
13,PC1,14,1.128920738438609,positive,Asteroleplasma et rel.
14,PC1,15,1.950873189858269,positive,Atopobium
15,PC1,16,2.8015008142506383,positive,Bacillus
16,PC1,17,535.6201343216435,negative,Bacteroides fragilis et rel.
17,PC1,18,77.92646616545629,negative,Bacteroides intestinalis et rel.
18,PC1,19,235.99616904967942,negative,Bacteroides ovatus et rel.
19,PC1,20,134.65926499946934,negative,Bacteroides plebeius et rel.
20,PC1,21,15.614894255484844,negative,Bacteroides splachnicus et rel.
21,PC1,22,70.7442879840391,negative,Bacteroides stercoris et rel.
22,PC1,23,757.3662551151585,negative,Bacteroides uniformis et rel.
23,PC1,24,3350.744200431834,negative,Bacteroides vulgatus et rel.
24,PC1,25,806.2579092048765,negative,Bifidobacterium
25,PC1,26,3.3513803646547893,positive,Bilophila et rel.
26,PC1,27,2.6115102194181707,positive,Brachyspira
27,PC1,28,448.9361877683606,negative,Bryantella formatexigens et rel.
28,PC1,29,6.019621607784254,positive,Bulleidia moorei et rel.
29,PC1,30,2.1107135687662764,positive,Burkholderia
30,PC1,31,589.5450209495549,positive,Butyrivibrio crossotus et rel.
31,PC1,32,9.64268610411684,positive,Campylobacter
32,PC1,33,163.27346734860893,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,31.112987923100174,negative,Clostridium (sensu stricto)
34,PC1,35,1458.3817310345662,positive,Clostridium cellulosi et rel.
35,PC1,36,160.71121599982823,positive,Clostridium colinum et rel.
36,PC1,37,201.04679940240248,negative,Clostridium difficile et rel.
37,PC1,38,1.3019655327265809,positive,Clostridium felsineum et rel.
38,PC1,39,2934.5395038818606,negative,Clostridium leptum et rel.
39,PC1,40,316.9904606126013,negative,Clostridium nexile et rel.
40,PC1,41,109.41882210112979,negative,Clostridium orbiscindens et rel.
41,PC1,42,28.30418732190765,negative,Clostridium ramosum et rel.
42,PC1,43,794.9971156056299,negative,Clostridium sphenoides et rel.
43,PC1,44,237.38671368409354,negative,Clostridium stercorarium et rel.
44,PC1,45,459.4223900178699,negative,Clostridium symbiosum et rel.
45,PC1,46,0.9283678241221088,positive,Clostridium thermocellum et rel.
46,PC1,47,387.766881787647,positive,Collinsella
47,PC1,48,58.481940645246965,negative,Coprobacillus catenaformis et rel.
48,PC1,49,3999.4478578073067,negative,Coprococcus eutactus et rel.
49,PC1,50,3.7905246492211644,positive,Corynebacterium
50,PC1,51,10.604297784102759,positive,Desulfovibrio et rel.
51,PC1,52,969.7262627396632,negative,Dialister
52,PC1,53,741.0028177759499,negative,Dorea formicigenerans et rel.
53,PC1,54,49.57821119609996,positive,Eggerthella lenta et rel.
54,PC1,55,222.8472433129018,negative,Enterobacter aerogenes et rel.
55,PC1,56,8.711950447552734,positive,Enterococcus
56,PC1,57,1079.5988872621606,negative,Escherichia coli et rel.
57,PC1,58,97.75079561978279,positive,Eubacterium biforme et rel.
58,PC1,59,2.7585110475930024,negative,Eubacterium cylindroides et rel.
59,PC1,60,860.7424026474712,negative,Eubacterium hallii et rel.
60,PC1,61,1.9201379721639513,positive,Eubacterium limosum et rel.
61,PC1,62,402.39227715846147,negative,Eubacterium rectale et rel.
62,PC1,63,50.019015989745064,positive,Eubacterium siraeum et rel.
63,PC1,64,737.1951216274954,negative,Eubacterium ventriosum et rel.
64,PC1,65,2848.611533220519,positive,Faecalibacterium prausnitzii et rel.
65,PC1,66,5.273714331611186,positive,Fusobacteria
66,PC1,67,1.049870990089533,positive,Gemella
67,PC1,68,0.11117673742374942,negative,Granulicatella
68,PC1,69,0.9856404767958965,positive,Haemophilus
69,PC1,70,5.8031081313469315,positive,Helicobacter
70,PC1,71,126.91119628551209,negative,Klebisiella pneumoniae et rel.
71,PC1,72,249.3728814745248,positive,Lachnobacillus bovis et rel.
72,PC1,73,312.84312155418445,positive,Lachnospira pectinoschiza et rel.
73,PC1,74,5.442050474621995,positive,Lactobacillus catenaformis et rel.
74,PC1,75,17.86220335431718,positive,Lactobacillus gasseri et rel.
75,PC1,76,25.293468543898047,positive,Lactobacillus plantarum et rel.
76,PC1,77,49.711622937098994,positive,Lactobacillus salivarius et rel.
77,PC1,78,35.774256157407855,negative,Lactococcus
78,PC1,79,0.2182925027005248,positive,Leminorella
79,PC1,80,127.18589539463898,positive,Megamonas hypermegale et rel.
80,PC1,81,310.68417509597674,positive,Megasphaera elsdenii et rel.
81,PC1,82,1.130424752968297,positive,Methylobacterium
82,PC1,83,1.101198040353081,positive,Micrococcaceae
83,PC1,84,258.4244003345626,positive,Mitsuokella multiacida et rel.
