,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,2.015619059727638,negative,Actinomycetaceae
1,PC1,2,0.25018409802978153,negative,Aerococcus
2,PC1,3,0.9295790336988471,negative,Aeromonas
3,PC1,4,639.3808724786805,negative,Akkermansia
4,PC1,5,4.527838961994385,positive,Alcaligenes faecalis et rel.
5,PC1,6,172.99934082150313,positive,Allistipes et rel.
6,PC1,7,0.21677000924924883,positive,Anaerobiospirillum
7,PC1,8,3.4958129351398304,negative,Anaerofustis
8,PC1,9,2749.8482476151653,negative,Anaerostipes caccae et rel.
9,PC1,10,201.2746559328763,positive,Anaerotruncus colihominis et rel.
10,PC1,11,171.1358200117687,negative,Anaerovorax odorimutans et rel.
11,PC1,12,1.1912224978507908,negative,Aneurinibacillus
12,PC1,13,1.826599426688163,positive,Aquabacterium
13,PC1,14,0.15714370191849336,positive,Asteroleplasma et rel.
14,PC1,15,2.6946543781310637,negative,Atopobium
15,PC1,16,2.0634462573268664,negative,Bacillus
16,PC1,17,658.9134766953624,negative,Bacteroides fragilis et rel.
17,PC1,18,17.63052294848525,negative,Bacteroides intestinalis et rel.
18,PC1,19,517.1928858004435,positive,Bacteroides ovatus et rel.
19,PC1,20,207.37522506723246,positive,Bacteroides plebeius et rel.
20,PC1,21,55.823076879047335,positive,Bacteroides splachnicus et rel.
21,PC1,22,59.298319699615874,negative,Bacteroides stercoris et rel.
22,PC1,23,294.98684623845236,negative,Bacteroides uniformis et rel.
23,PC1,24,13828.647681038909,positive,Bacteroides vulgatus et rel.
24,PC1,25,4303.852393934522,negative,Bifidobacterium
25,PC1,26,2.369573778486536,positive,Bilophila et rel.
26,PC1,27,0.21260858907333088,positive,Brachyspira
27,PC1,28,412.6558955208615,positive,Bryantella formatexigens et rel.
28,PC1,29,6.371777060137856,positive,Bulleidia moorei et rel.
29,PC1,30,23.221397347767326,positive,Burkholderia
30,PC1,31,608.7148019625558,negative,Butyrivibrio crossotus et rel.
31,PC1,32,0.13592546077567355,positive,Campylobacter
32,PC1,33,746.260749463868,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,217.30616055063967,negative,Clostridium (sensu stricto)
34,PC1,35,4321.492860024156,negative,Clostridium cellulosi et rel.
35,PC1,36,13.450041524968341,negative,Clostridium colinum et rel.
36,PC1,37,828.3659730473596,negative,Clostridium difficile et rel.
37,PC1,38,0.6067212057870801,negative,Clostridium felsineum et rel.
38,PC1,39,2646.368938473225,negative,Clostridium leptum et rel.
39,PC1,40,1247.9944113930744,negative,Clostridium nexile et rel.
40,PC1,41,1493.790529925604,negative,Clostridium orbiscindens et rel.
41,PC1,42,97.75210548147466,positive,Clostridium ramosum et rel.
42,PC1,43,329.1970425757355,negative,Clostridium sphenoides et rel.
43,PC1,44,199.94618528509847,negative,Clostridium stercorarium et rel.
44,PC1,45,2284.8847798888423,positive,Clostridium symbiosum et rel.
45,PC1,46,0.6985865368952989,negative,Clostridium thermocellum et rel.
46,PC1,47,202.3626580800698,negative,Collinsella
47,PC1,48,0.09108639545571601,positive,Coprobacillus catenaformis et rel.
48,PC1,49,4595.110155443866,negative,Coprococcus eutactus et rel.
49,PC1,50,0.8729219491608105,negative,Corynebacterium
50,PC1,51,17.315308895559426,positive,Desulfovibrio et rel.
51,PC1,52,1659.5419111206527,positive,Dialister
52,PC1,53,842.3934254413501,negative,Dorea formicigenerans et rel.
53,PC1,54,16.10150452772194,negative,Eggerthella lenta et rel.
54,PC1,55,79.78004257237184,positive,Enterobacter aerogenes et rel.
55,PC1,56,12.422484064019095,negative,Enterococcus
56,PC1,57,75.25906479013513,positive,Escherichia coli et rel.
