,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,0.5919118304287174,negative,Actinomycetaceae
1,PC1,2,0.6493381810658628,negative,Aerococcus
2,PC1,3,1.0556534162437763,negative,Aeromonas
3,PC1,4,607.7645155376155,negative,Akkermansia
4,PC1,5,3.5212740742648507,positive,Alcaligenes faecalis et rel.
5,PC1,6,1357.1917762547582,negative,Allistipes et rel.
6,PC1,7,0.19609492227783157,negative,Anaerobiospirillum
7,PC1,8,2.8318530913782616,negative,Anaerofustis
8,PC1,9,2138.668378214581,negative,Anaerostipes caccae et rel.
9,PC1,10,198.95335910923032,positive,Anaerotruncus colihominis et rel.
10,PC1,11,144.9399281868772,negative,Anaerovorax odorimutans et rel.
11,PC1,12,0.21207031412752528,negative,Aneurinibacillus
12,PC1,13,1.7739732033929918,negative,Aquabacterium
13,PC1,14,0.07757521241727365,negative,Asteroleplasma et rel.
14,PC1,15,2.1065163792885153,negative,Atopobium
15,PC1,16,1.476278455415369,negative,Bacillus
16,PC1,17,1058.2876687362268,negative,Bacteroides fragilis et rel.
17,PC1,18,74.68135286908283,negative,Bacteroides intestinalis et rel.
18,PC1,19,477.6899844583566,negative,Bacteroides ovatus et rel.
19,PC1,20,90.2742016083148,negative,Bacteroides plebeius et rel.
20,PC1,21,55.65923438415826,positive,Bacteroides splachnicus et rel.
21,PC1,22,147.69926454037721,negative,Bacteroides stercoris et rel.
22,PC1,23,1238.8268448216097,negative,Bacteroides uniformis et rel.
23,PC1,24,9672.685178548756,negative,Bacteroides vulgatus et rel.
24,PC1,25,2845.2224725525543,negative,Bifidobacterium
25,PC1,26,0.6106500018469925,positive,Bilophila et rel.
26,PC1,27,0.24259991929413652,positive,Brachyspira
27,PC1,28,781.6805813002472,negative,Bryantella formatexigens et rel.
28,PC1,29,5.651182922449892,negative,Bulleidia moorei et rel.
29,PC1,30,7.116546818032657,positive,Burkholderia
30,PC1,31,52.94508832319272,positive,Butyrivibrio crossotus et rel.
31,PC1,32,0.8211283524097417,negative,Campylobacter
32,PC1,33,121.85810464137812,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,0.026253673872009133,positive,Clostridium (sensu stricto)
34,PC1,35,1127.0682271135422,positive,Clostridium cellulosi et rel.
35,PC1,36,10.615800894765465,negative,Clostridium colinum et rel.
36,PC1,37,909.0552298724843,positive,Clostridium difficile et rel.
37,PC1,38,0.06507068806975108,negative,Clostridium felsineum et rel.
38,PC1,39,1663.0385771742563,negative,Clostridium leptum et rel.
39,PC1,40,818.1878524520259,negative,Clostridium nexile et rel.
40,PC1,41,1729.8247404757562,negative,Clostridium orbiscindens et rel.
41,PC1,42,37.54790693069879,negative,Clostridium ramosum et rel.
42,PC1,43,1042.8059404935793,negative,Clostridium sphenoides et rel.
43,PC1,44,225.69991719583794,negative,Clostridium stercorarium et rel.
44,PC1,45,1410.396305002673,negative,Clostridium symbiosum et rel.
45,PC1,46,0.24326608081487897,negative,Clostridium thermocellum et rel.
46,PC1,47,240.33072564722772,negative,Collinsella
47,PC1,48,65.68508151699108,negative,Coprobacillus catenaformis et rel.
48,PC1,49,4416.815982664353,negative,Coprococcus eutactus et rel.
49,PC1,50,0.033685746234088994,positive,Corynebacterium
50,PC1,51,10.88254252799207,positive,Desulfovibrio et rel.
51,PC1,52,518.282289919483,negative,Dialister
52,PC1,53,1513.2567224327604,negative,Dorea formicigenerans et rel.
53,PC1,54,29.197290572886246,negative,Eggerthella lenta et rel.
54,PC1,55,23.24346921356213,positive,Enterobacter aerogenes et rel.
55,PC1,56,88.12020625085003,negative,Enterococcus
56,PC1,57,282.1677491159125,negative,Escherichia coli et rel.
57,PC1,58,143.90639623427256,negative,Eubacterium biforme et rel.
58,PC1,59,10.342773816612997,negative,Eubacterium cylindroides et rel.
59,PC1,60,1024.7459185266268,negative,Eubacterium hallii et rel.
60,PC1,61,20.792139856075245,negative,Eubacterium limosum et rel.
61,PC1,62,342.61826264184964,negative,Eubacterium rectale et rel.
62,PC1,63,3.6635627588223416,negative,Eubacterium siraeum et rel.
63,PC1,64,640.6673273006785,negative,Eubacterium ventriosum et rel.
64,PC1,65,528.6897481186083,negative,Faecalibacterium prausnitzii et rel.
65,PC1,66,0.14823430685857686,negative,Fusobacteria
66,PC1,67,0.49210456419869786,negative,Gemella
67,PC1,68,3.3363807612578036,negative,Granulicatella
68,PC1,69,1.2688253349156564,negative,Haemophilus
69,PC1,70,0.41419230934144546,negative,Helicobacter
70,PC1,71,2.2964879730914896,negative,Klebisiella pneumoniae et rel.
71,PC1,72,275.7148164873006,positive,Lachnobacillus bovis et rel.
72,PC1,73,926.7348792673754,negative,Lachnospira pectinoschiza et rel.
73,PC1,74,2.444596170108519,positive,Lactobacillus catenaformis et rel.
74,PC1,75,63.17794550072671,negative,Lactobacillus gasseri et rel.
75,PC1,76,26.895571986310113,negative,Lactobacillus plantarum et rel.
76,PC1,77,36.813429141813266,positive,Lactobacillus salivarius et rel.
77,PC1,78,6.716914823650377,negative,Lactococcus
78,PC1,79,0.7646817172318503,negative,Leminorella
79,PC1,80,33.80153963944598,positive,Megamonas hypermegale et rel.
80,PC1,81,490.77863580141184,positive,Megasphaera elsdenii et rel.
81,PC1,82,0.061954810147334456,positive,Methylobacterium
82,PC1,83,0.052066719574411606,positive,Micrococcaceae
83,PC1,84,871.0315897905389,positive,Mitsuokella multiacida et rel.
84,PC1,85,0.9372566853229378,positive,Moraxellaceae
85,PC1,86,0.19727873016753034,positive,Novosphingobium
86,PC1,87,23.11850866296062,negative,Oceanospirillum
87,PC1,88,3476.976027621365,positive,Oscillospira guillermondii et rel.
88,PC1,89,746.43537421261,negative,Outgrouping clostridium cluster XIVa
89,PC1,90,46.73767718521534,negative,Oxalobacter formigenes et rel.
90,PC1,91,326.6819219881476,negative,Papillibacter cinnamivorans et rel.
91,PC1,92,254.77073207861895,negative,Parabacteroides distasonis et rel.
