,PC,bacteria_id,loading,sign,bacteria_name
0,1,1,1.0268450851545323,positive,Actinomycetaceae
1,1,2,0.5614350848752968,positive,Aerococcus
2,1,3,0.09247819413167514,positive,Aeromonas
3,1,4,413.861385644329,negative,Akkermansia
4,1,5,27.64691694755948,negative,Alcaligenes faecalis et rel.
5,1,6,1463.094815026851,negative,Allistipes et rel.
6,1,7,1.826673511269747,positive,Anaerobiospirillum
7,1,8,4.008960527871231,negative,Anaerofustis
8,1,9,2818.2901131997423,negative,Anaerostipes caccae et rel.
9,1,10,8.050406217965644,positive,Anaerotruncus colihominis et rel.
10,1,11,146.55720824100464,negative,Anaerovorax odorimutans et rel.
11,1,12,0.44277432645229053,positive,Aneurinibacillus
12,1,13,5.302587034029101,positive,Aquabacterium
13,1,14,0.7978625019597727,positive,Asteroleplasma et rel.
14,1,15,0.22187043682515897,positive,Atopobium
15,1,16,1.0516324202413136,positive,Bacillus
16,1,17,1646.682382456761,negative,Bacteroides fragilis et rel.
17,1,18,176.02244144074814,negative,Bacteroides intestinalis et rel.
18,1,19,444.53297995311334,negative,Bacteroides ovatus et rel.
19,1,20,72.3672659568351,negative,Bacteroides plebeius et rel.
20,1,21,164.40936366005894,negative,Bacteroides splachnicus et rel.
21,1,22,190.14376695814022,negative,Bacteroides stercoris et rel.
22,1,23,1639.8699553911822,negative,Bacteroides uniformis et rel.
23,1,24,21762.936897157626,negative,Bacteroides vulgatus et rel.
24,1,25,2106.146959810545,negative,Bifidobacterium
25,1,26,6.814288651632997,positive,Bilophila et rel.
26,1,27,0.3326195912788465,positive,Brachyspira
27,1,28,870.1116982358827,negative,Bryantella formatexigens et rel.
28,1,29,4.183438638803327,negative,Bulleidia moorei et rel.
29,1,30,35.858782988645906,positive,Burkholderia
30,1,31,1182.933797411008,positive,Butyrivibrio crossotus et rel.
31,1,32,6.284625032568864,positive,Campylobacter
32,1,33,253.56907347869742,positive,Catenibacterium mitsuokai et rel.
33,1,34,17.44435986659017,positive,Clostridium (sensu stricto)
34,1,35,1954.3886899645636,positive,Clostridium cellulosi et rel.
35,1,36,77.41284689895546,negative,Clostridium colinum et rel.
36,1,37,764.5194471502201,negative,Clostridium difficile et rel.
37,1,38,0.7052235493612934,positive,Clostridium felsineum et rel.
38,1,39,1902.4617892174283,negative,Clostridium leptum et rel.
