,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,3.1190318025733017,negative,Actinomycetaceae
1,PC1,2,1.393365259521669,negative,Aerococcus
2,PC1,3,2.1834512618538042,negative,Aeromonas
3,PC1,4,769.4145080222897,negative,Akkermansia
4,PC1,5,1.3574618113628603,positive,Alcaligenes faecalis et rel.
5,PC1,6,394.44275246580577,negative,Allistipes et rel.
6,PC1,7,1.0326481490431216,negative,Anaerobiospirillum
7,PC1,8,5.140602385583927,negative,Anaerofustis
8,PC1,9,3129.7145186555204,negative,Anaerostipes caccae et rel.
9,PC1,10,431.89222486302316,positive,Anaerotruncus colihominis et rel.
10,PC1,11,243.83697297662718,negative,Anaerovorax odorimutans et rel.
11,PC1,12,1.2849215876887974,negative,Aneurinibacillus
12,PC1,13,7.810872866686511,positive,Aquabacterium
13,PC1,14,1.172438494822888,negative,Asteroleplasma et rel.
14,PC1,15,4.066531291138809,negative,Atopobium
15,PC1,16,5.752566280530061,negative,Bacillus
16,PC1,17,390.5223195470648,negative,Bacteroides fragilis et rel.
17,PC1,18,17.075721692658057,negative,Bacteroides intestinalis et rel.
18,PC1,19,141.77419061165958,negative,Bacteroides ovatus et rel.
19,PC1,20,55.904452753931885,negative,Bacteroides plebeius et rel.
20,PC1,21,22.34842318211036,positive,Bacteroides splachnicus et rel.
21,PC1,22,89.26657489586876,negative,Bacteroides stercoris et rel.
22,PC1,23,622.3263227392754,negative,Bacteroides uniformis et rel.
23,PC1,24,4436.280138107714,negative,Bacteroides vulgatus et rel.
24,PC1,25,3112.1025621115195,negative,Bifidobacterium
25,PC1,26,4.609010160639704,negative,Bilophila et rel.
26,PC1,27,1.9677031057773473,negative,Brachyspira
27,PC1,28,647.486171879573,negative,Bryantella formatexigens et rel.
28,PC1,29,6.239758773970619,negative,Bulleidia moorei et rel.
29,PC1,30,0.7521384298749233,positive,Burkholderia
30,PC1,31,445.15418099686286,negative,Butyrivibrio crossotus et rel.
31,PC1,32,7.878127328353274,negative,Campylobacter
32,PC1,33,113.8055830742911,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,92.70673026636882,negative,Clostridium (sensu stricto)
34,PC1,35,215.8851415226727,negative,Clostridium cellulosi et rel.
35,PC1,36,47.91926051179479,positive,Clostridium colinum et rel.
36,PC1,37,820.0438770186346,negative,Clostridium difficile et rel.
37,PC1,38,1.2411483935254062,negative,Clostridium felsineum et rel.
38,PC1,39,2042.004742809604,negative,Clostridium leptum et rel.
39,PC1,40,853.0405980126774,negative,Clostridium nexile et rel.
40,PC1,41,1834.9291849511824,negative,Clostridium orbiscindens et rel.
41,PC1,42,35.321840785185785,negative,Clostridium ramosum et rel.
42,PC1,43,519.9082158147734,negative,Clostridium sphenoides et rel.
43,PC1,44,289.5887777547028,negative,Clostridium stercorarium et rel.
44,PC1,45,653.5403903510561,negative,Clostridium symbiosum et rel.
45,PC1,46,1.9968499201263128,negative,Clostridium thermocellum et rel.
46,PC1,47,266.15418563019205,negative,Collinsella
47,PC1,48,49.23111747748214,negative,Coprobacillus catenaformis et rel.
48,PC1,49,4682.81254585697,negative,Coprococcus eutactus et rel.
49,PC1,50,3.5259224611210276,negative,Corynebacterium
50,PC1,51,2.7934339087664215,positive,Desulfovibrio et rel.
51,PC1,52,1047.0292904244707,negative,Dialister
52,PC1,53,1375.4433706264808,negative,Dorea formicigenerans et rel.
53,PC1,54,13.098251393945302,negative,Eggerthella lenta et rel.
54,PC1,55,26.58752088697237,negative,Enterobacter aerogenes et rel.
55,PC1,56,11.902977155868543,negative,Enterococcus
56,PC1,57,46.668179607877214,negative,Escherichia coli et rel.
57,PC1,58,80.2115263670134,positive,Eubacterium biforme et rel.
58,PC1,59,17.903609362187364,negative,Eubacterium cylindroides et rel.
59,PC1,60,1544.437965018156,negative,Eubacterium hallii et rel.
60,PC1,61,14.283752325537433,negative,Eubacterium limosum et rel.
61,PC1,62,174.703504354172,negative,Eubacterium rectale et rel.
62,PC1,63,16.078964342667792,negative,Eubacterium siraeum et rel.
63,PC1,64,981.5051073221844,negative,Eubacterium ventriosum et rel.
64,PC1,65,221.8059332241538,negative,Faecalibacterium prausnitzii et rel.
65,PC1,66,10.504116989638156,negative,Fusobacteria
66,PC1,67,1.175764342774215,negative,Gemella
67,PC1,68,4.171359929093266,negative,Granulicatella
68,PC1,69,0.015510993270989584,positive,Haemophilus
69,PC1,70,5.714674220379069,negative,Helicobacter
70,PC1,71,14.684758135677662,negative,Klebisiella pneumoniae et rel.
71,PC1,72,389.26727345276544,positive,Lachnobacillus bovis et rel.
72,PC1,73,641.9438666430094,negative,Lachnospira pectinoschiza et rel.
73,PC1,74,8.030886470229158,positive,Lactobacillus catenaformis et rel.
74,PC1,75,80.41478014824564,negative,Lactobacillus gasseri et rel.
75,PC1,76,8.380922306674172,negative,Lactobacillus plantarum et rel.
76,PC1,77,41.765430513244155,positive,Lactobacillus salivarius et rel.
77,PC1,78,18.072503181694255,negative,Lactococcus
78,PC1,79,1.5064538890150987,negative,Leminorella
79,PC1,80,91.5672344657145,positive,Megamonas hypermegale et rel.
80,PC1,81,351.1490853531731,positive,Megasphaera elsdenii et rel.
81,PC1,82,1.0978980179260853,negative,Methylobacterium
82,PC1,83,0.9890038651431556,negative,Micrococcaceae
83,PC1,84,1166.238327044317,positive,Mitsuokella multiacida et rel.
84,PC1,85,2.12856966262283,negative,Moraxellaceae
85,PC1,86,0.9268759923594949,negative,Novosphingobium
86,PC1,87,7.501924184988967,negative,Oceanospirillum
87,PC1,88,3469.1041419450526,positive,Oscillospira guillermondii et rel.
88,PC1,89,888.4800796079801,negative,Outgrouping clostridium cluster XIVa
89,PC1,90,29.05037347858644,negative,Oxalobacter formigenes et rel.
90,PC1,91,295.32747722335813,negative,Papillibacter cinnamivorans et rel.
91,PC1,92,38.84376474658419,negative,Parabacteroides distasonis et rel.
92,PC1,93,7.543417572041985,negative,Peptococcus niger et rel.
93,PC1,94,2.3424250079750104,negative,Peptostreptococcus anaerobius et rel.
94,PC1,95,6.332728407279393,negative,Peptostreptococcus micros et rel.
95,PC1,96,142.66364979379,positive,Phascolarctobacterium faecium et rel.
96,PC1,97,178907.67664573708,positive,Prevotella melaninogenica et rel.
97,PC1,98,26291.920856230045,positive,Prevotella oralis et rel.
98,PC1,99,49.72607439929809,positive,Prevotella ruminicola et rel.
99,PC1,100,617.9246659606555,positive,Prevotella tannerae et rel.
100,PC1,101,10.498085665067643,negative,Propionibacterium
101,PC1,102,11.417693289735707,negative,Proteus et rel.
102,PC1,103,2.201957827857683,negative,Pseudomonas
103,PC1,104,174.94969668219176,negative,Roseburia intestinalis et rel.
104,PC1,105,1120.4027629101922,negative,Ruminococcus bromii et rel.
105,PC1,106,815.3370157302628,negative,Ruminococcus callidus et rel.
106,PC1,107,681.8676195113169,negative,Ruminococcus gnavus et rel.
107,PC1,108,157.61081210671466,negative,Ruminococcus lactaris et rel.
108,PC1,109,10307.769158936193,negative,Ruminococcus obeum et rel.
109,PC1,110,27.184809483198013,negative,Serratia
110,PC1,111,669.0721854776076,negative,Sporobacter termitidis et rel.
111,PC1,112,2.8005982294339002,negative,Staphylococcus
112,PC1,113,870.3466306574103,negative,Streptococcus bovis et rel.
113,PC1,114,23.078615018529433,negative,Streptococcus intermedius et rel.
114,PC1,115,135.803209588277,negative,Streptococcus mitis et rel.
115,PC1,116,6438.858238271244,negative,Subdoligranulum variable at rel.
116,PC1,117,152.3297838022612,positive,Sutterella wadsworthia et rel.
117,PC1,118,15.960718224193752,negative,Tannerella et rel.
118,PC1,119,25.41860483997611,positive,Uncultured Bacteroidetes
119,PC1,120,0.8962786048619162,positive,Uncultured Chroococcales
120,PC1,121,340.40440817887037,positive,Uncultured Clostridium (sensu stricto)les I
121,PC1,122,1445.7941040692908,negative,Uncultured Clostridium (sensu stricto)les II
122,PC1,123,516.1445225994901,positive,Uncultured Mollicutes
123,PC1,124,13.739690505131776,negative,Uncultured Selenomonadaceae
124,PC1,125,5.406421913854214,positive,Veillonella
125,PC1,126,4.6613204113592355,negative,Vibrio
126,PC1,127,7.102314744874947,negative,Weissella et rel.
127,PC1,128,0.9680737724871443,negative,Wissella et rel.
128,PC1,129,0.06899785490299919,negative,Xanthomonadaceae
129,PC1,130,5.653614490643695,negative,Yersinia et rel.
130,PC2,1,1.0822600595026386,negative,Actinomycetaceae
131,PC2,2,0.22675468282948377,positive,Aerococcus
132,PC2,3,2.038738179828998,positive,Aeromonas
133,PC2,4,672.9423969429766,negative,Akkermansia
134,PC2,5,6.700291373002453,negative,Alcaligenes faecalis et rel.
135,PC2,6,195.51172377883657,negative,Allistipes et rel.
136,PC2,7,0.4412656296595157,negative,Anaerobiospirillum
137,PC2,8,5.567971302255287,positive,Anaerofustis
138,PC2,9,3503.9599651952985,positive,Anaerostipes caccae et rel.
139,PC2,10,78.16973846283356,negative,Anaerotruncus colihominis et rel.
140,PC2,11,315.7875314819444,negative,Anaerovorax odorimutans et rel.
141,PC2,12,1.4814596018287116,positive,Aneurinibacillus
142,PC2,13,0.5597382346636245,positive,Aquabacterium
143,PC2,14,0.12853138150175675,negative,Asteroleplasma et rel.
144,PC2,15,2.0194520134588934,negative,Atopobium
145,PC2,16,1.8579607933571247,negative,Bacillus
146,PC2,17,133.83767088089,positive,Bacteroides fragilis et rel.
147,PC2,18,15.127673936713128,positive,Bacteroides intestinalis et rel.
148,PC2,19,368.20617672230156,positive,Bacteroides ovatus et rel.
149,PC2,20,154.69242663038762,positive,Bacteroides plebeius et rel.
150,PC2,21,56.31619801348799,positive,Bacteroides splachnicus et rel.
151,PC2,22,98.85326278833233,positive,Bacteroides stercoris et rel.
152,PC2,23,356.9190525979958,positive,Bacteroides uniformis et rel.
153,PC2,24,6581.575353307268,positive,Bacteroides vulgatus et rel.
154,PC2,25,447.6220550792835,negative,Bifidobacterium
155,PC2,26,4.666200453159135,negative,Bilophila et rel.
156,PC2,27,1.1280769476698194,negative,Brachyspira
157,PC2,28,3194.676699054097,positive,Bryantella formatexigens et rel.
158,PC2,29,9.40201223748835,negative,Bulleidia moorei et rel.
159,PC2,30,10.863169404792261,negative,Burkholderia
160,PC2,31,3115.9083836269606,positive,Butyrivibrio crossotus et rel.
161,PC2,32,3.326333578749699,negative,Campylobacter
162,PC2,33,155.50822716169364,negative,Catenibacterium mitsuokai et rel.
163,PC2,34,183.8887174721385,negative,Clostridium (sensu stricto)
164,PC2,35,5127.688422449519,negative,Clostridium cellulosi et rel.
165,PC2,36,149.7079707020446,positive,Clostridium colinum et rel.
166,PC2,37,4013.509601156661,negative,Clostridium difficile et rel.
167,PC2,38,0.035792576124057125,positive,Clostridium felsineum et rel.
168,PC2,39,360.77316759756405,negative,Clostridium leptum et rel.
169,PC2,40,425.559007711238,positive,Clostridium nexile et rel.
170,PC2,41,1637.7739108389778,negative,Clostridium orbiscindens et rel.
171,PC2,42,16.201055599164388,negative,Clostridium ramosum et rel.
172,PC2,43,1953.4119326112084,positive,Clostridium sphenoides et rel.
173,PC2,44,449.44988153286613,positive,Clostridium stercorarium et rel.
