,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,0.9190120594489177,negative,Actinomycetaceae
1,PC1,2,0.0014475618871368718,negative,Aerococcus
2,PC1,3,0.4974447995491426,negative,Aeromonas
3,PC1,4,438.1714162325495,negative,Akkermansia
4,PC1,5,49.97216291252288,positive,Alcaligenes faecalis et rel.
5,PC1,6,1378.861679876792,negative,Allistipes et rel.
6,PC1,7,0.28197744571025857,positive,Anaerobiospirillum
7,PC1,8,2.2481535697240598,negative,Anaerofustis
8,PC1,9,1239.2033718334378,negative,Anaerostipes caccae et rel.
9,PC1,10,75.98296331273666,positive,Anaerotruncus colihominis et rel.
10,PC1,11,144.9983889997248,negative,Anaerovorax odorimutans et rel.
11,PC1,12,0.8993249451900407,negative,Aneurinibacillus
12,PC1,13,9.998586612454627,positive,Aquabacterium
13,PC1,14,0.16791677334555638,positive,Asteroleplasma et rel.
14,PC1,15,1.6058652724004627,negative,Atopobium
15,PC1,16,0.0988361277757488,negative,Bacillus
16,PC1,17,1475.83966228004,negative,Bacteroides fragilis et rel.
17,PC1,18,132.8696160375596,negative,Bacteroides intestinalis et rel.
18,PC1,19,588.6748496479361,negative,Bacteroides ovatus et rel.
19,PC1,20,34.14599516797751,negative,Bacteroides plebeius et rel.
20,PC1,21,17.558471430564765,negative,Bacteroides splachnicus et rel.
21,PC1,22,182.3973000501332,negative,Bacteroides stercoris et rel.
22,PC1,23,1523.460034878476,negative,Bacteroides uniformis et rel.
23,PC1,24,13086.093561806489,negative,Bacteroides vulgatus et rel.
24,PC1,25,2178.8627029859394,negative,Bifidobacterium
25,PC1,26,1.7841360179942638,positive,Bilophila et rel.
26,PC1,27,0.9138068328584057,positive,Brachyspira
27,PC1,28,643.3661752132801,negative,Bryantella formatexigens et rel.
28,PC1,29,3.8223081209467993,negative,Bulleidia moorei et rel.
29,PC1,30,14.707480538464653,positive,Burkholderia
30,PC1,31,179.03640274666756,positive,Butyrivibrio crossotus et rel.
31,PC1,32,1.5843810880885665,positive,Campylobacter
32,PC1,33,35.44207320409711,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,22.75340765556129,positive,Clostridium (sensu stricto)
34,PC1,35,689.679377213979,negative,Clostridium cellulosi et rel.
35,PC1,36,76.06182589264006,negative,Clostridium colinum et rel.
36,PC1,37,623.8820010900685,positive,Clostridium difficile et rel.
37,PC1,38,0.1862758407558397,positive,Clostridium felsineum et rel.
38,PC1,39,1426.3222471025988,negative,Clostridium leptum et rel.
39,PC1,40,901.1178620140444,negative,Clostridium nexile et rel.
40,PC1,41,2427.833072595045,negative,Clostridium orbiscindens et rel.
41,PC1,42,19.90146609457047,negative,Clostridium ramosum et rel.
42,PC1,43,885.9597608671206,negative,Clostridium sphenoides et rel.
43,PC1,44,190.48037449221326,negative,Clostridium stercorarium et rel.
44,PC1,45,1771.5525416059686,negative,Clostridium symbiosum et rel.
45,PC1,46,0.05962857657142478,positive,Clostridium thermocellum et rel.
46,PC1,47,384.3325668634172,negative,Collinsella
47,PC1,48,25.53509568845651,negative,Coprobacillus catenaformis et rel.
48,PC1,49,3233.179591464337,negative,Coprococcus eutactus et rel.
49,PC1,50,0.9526792756500059,positive,Corynebacterium
50,PC1,51,11.429193918197315,positive,Desulfovibrio et rel.
51,PC1,52,257.7738186467778,negative,Dialister
52,PC1,53,1489.5862457080325,negative,Dorea formicigenerans et rel.
53,PC1,54,35.79063922197587,negative,Eggerthella lenta et rel.
54,PC1,55,21.08076509971865,positive,Enterobacter aerogenes et rel.
55,PC1,56,75.3240347091636,negative,Enterococcus
56,PC1,57,116.4618450093935,negative,Escherichia coli et rel.
57,PC1,58,108.5965279332705,negative,Eubacterium biforme et rel.
58,PC1,59,3.2727702849406035,negative,Eubacterium cylindroides et rel.
59,PC1,60,545.7596764842374,negative,Eubacterium hallii et rel.
60,PC1,61,13.816500307625441,negative,Eubacterium limosum et rel.
61,PC1,62,217.81715009379454,negative,Eubacterium rectale et rel.
62,PC1,63,12.125196210532385,negative,Eubacterium siraeum et rel.
63,PC1,64,637.0127516227018,negative,Eubacterium ventriosum et rel.
64,PC1,65,57.84828437199079,positive,Faecalibacterium prausnitzii et rel.
65,PC1,66,3.1267711762288006,positive,Fusobacteria
66,PC1,67,0.18550798906879576,negative,Gemella
67,PC1,68,2.563441811844338,negative,Granulicatella
68,PC1,69,2.5485819633374103,positive,Haemophilus
69,PC1,70,0.877970733347185,positive,Helicobacter
70,PC1,71,10.052312750548895,negative,Klebisiella pneumoniae et rel.
71,PC1,72,296.0601873668607,positive,Lachnobacillus bovis et rel.
72,PC1,73,604.321180578186,negative,Lachnospira pectinoschiza et rel.
73,PC1,74,1.7961695893856116,positive,Lactobacillus catenaformis et rel.
74,PC1,75,65.52544060777338,negative,Lactobacillus gasseri et rel.
75,PC1,76,29.422637231054367,negative,Lactobacillus plantarum et rel.
76,PC1,77,24.697106837901494,positive,Lactobacillus salivarius et rel.
77,PC1,78,3.0524291554608767,negative,Lactococcus
78,PC1,79,0.5535467652267854,positive,Leminorella
79,PC1,80,63.590155665936386,positive,Megamonas hypermegale et rel.
80,PC1,81,304.6619870337729,positive,Megasphaera elsdenii et rel.
81,PC1,82,0.5955209515086617,positive,Methylobacterium
82,PC1,83,0.42609267036775644,positive,Micrococcaceae
83,PC1,84,1008.1503169711126,positive,Mitsuokella multiacida et rel.
84,PC1,85,5.352089783367133,positive,Moraxellaceae
85,PC1,86,0.5890127155477102,positive,Novosphingobium
86,PC1,87,22.605760852060435,negative,Oceanospirillum
87,PC1,88,4869.21455638402,negative,Oscillospira guillermondii et rel.
88,PC1,89,809.1142633291204,negative,Outgrouping clostridium cluster XIVa
89,PC1,90,38.986792767396835,negative,Oxalobacter formigenes et rel.
90,PC1,91,429.5876963820185,negative,Papillibacter cinnamivorans et rel.
91,PC1,92,366.751160374807,negative,Parabacteroides distasonis et rel.
92,PC1,93,24.30665212067151,negative,Peptococcus niger et rel.
93,PC1,94,0.30267178565011876,negative,Peptostreptococcus anaerobius et rel.
94,PC1,95,0.6569011102728771,positive,Peptostreptococcus micros et rel.
95,PC1,96,200.45872267797753,positive,Phascolarctobacterium faecium et rel.
96,PC1,97,223832.29255409254,positive,Prevotella melaninogenica et rel.
97,PC1,98,33285.72589010188,positive,Prevotella oralis et rel.
98,PC1,99,38.07383711490833,positive,Prevotella ruminicola et rel.
99,PC1,100,0.30939820740687995,negative,Prevotella tannerae et rel.
100,PC1,101,4.916099187802718,negative,Propionibacterium
101,PC1,102,1.4358337169136735,positive,Proteus et rel.
102,PC1,103,0.15182515831402263,negative,Pseudomonas
103,PC1,104,264.36776650260913,negative,Roseburia intestinalis et rel.
104,PC1,105,1097.6386728020423,negative,Ruminococcus bromii et rel.
105,PC1,106,470.52004458408226,negative,Ruminococcus callidus et rel.
106,PC1,107,668.2366337470775,negative,Ruminococcus gnavus et rel.
107,PC1,108,472.6490597255865,negative,Ruminococcus lactaris et rel.
108,PC1,109,6857.624262387881,negative,Ruminococcus obeum et rel.
109,PC1,110,6.712189911486152,negative,Serratia
110,PC1,111,2264.08983784949,negative,Sporobacter termitidis et rel.
111,PC1,112,0.23250179371424456,positive,Staphylococcus
112,PC1,113,1329.858551638534,negative,Streptococcus bovis et rel.
113,PC1,114,57.442890735734466,negative,Streptococcus intermedius et rel.
114,PC1,115,302.9163824396806,negative,Streptococcus mitis et rel.
115,PC1,116,6445.845144206698,negative,Subdoligranulum variable at rel.
116,PC1,117,302.53060173794216,positive,Sutterella wadsworthia et rel.
117,PC1,118,141.705962426273,negative,Tannerella et rel.
118,PC1,119,37.93683759287754,positive,Uncultured Bacteroidetes
119,PC1,120,24.667163346258008,negative,Uncultured Chroococcales
120,PC1,121,117.35654059306182,negative,Uncultured Clostridium (sensu stricto)les I
121,PC1,122,961.9605073400492,negative,Uncultured Clostridium (sensu stricto)les II
122,PC1,123,137.62784669908243,positive,Uncultured Mollicutes
123,PC1,124,0.03408774397241365,negative,Uncultured Selenomonadaceae
124,PC1,125,3.9322250247833415,positive,Veillonella
125,PC1,126,0.5334262035505402,positive,Vibrio
126,PC1,127,8.82884237880073,negative,Weissella et rel.
127,PC1,128,0.12013445264319887,positive,Wissella et rel.
128,PC1,129,8.121174736069099,positive,Xanthomonadaceae
129,PC1,130,0.1256555033823387,negative,Yersinia et rel.
130,PC2,1,5.331684346440744,negative,Actinomycetaceae
131,PC2,2,1.6515137335312766,negative,Aerococcus
132,PC2,3,0.6760163256913665,negative,Aeromonas
133,PC2,4,1170.8429199267205,positive,Akkermansia
134,PC2,5,27.37761932676499,positive,Alcaligenes faecalis et rel.
135,PC2,6,7222.53170435794,positive,Allistipes et rel.
136,PC2,7,0.7790425172805914,negative,Anaerobiospirillum
137,PC2,8,1.40931651459792,positive,Anaerofustis
138,PC2,9,1208.2675527513704,negative,Anaerostipes caccae et rel.
139,PC2,10,1430.0657141744637,positive,Anaerotruncus colihominis et rel.
140,PC2,11,39.51700536912796,negative,Anaerovorax odorimutans et rel.
141,PC2,12,1.6164984005930814,positive,Aneurinibacillus
142,PC2,13,2.726983070927654,positive,Aquabacterium
143,PC2,14,0.6388239406675018,negative,Asteroleplasma et rel.
144,PC2,15,5.577147296652812,negative,Atopobium
145,PC2,16,4.940893830107327,negative,Bacillus
146,PC2,17,2057.298616784687,positive,Bacteroides fragilis et rel.
147,PC2,18,295.21867523046,positive,Bacteroides intestinalis et rel.
