,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,0.5601486136862281,positive,Actinomycetaceae
1,PC1,2,0.08188943978710134,positive,Aerococcus
2,PC1,3,1.077206803854059,negative,Aeromonas
3,PC1,4,687.5988918353601,positive,Akkermansia
4,PC1,5,11.884941377981965,positive,Alcaligenes faecalis et rel.
5,PC1,6,2657.74591151174,positive,Allistipes et rel.
6,PC1,7,0.25838600922801125,negative,Anaerobiospirillum
7,PC1,8,15.270624645794642,negative,Anaerofustis
8,PC1,9,6776.2460636925725,negative,Anaerostipes caccae et rel.
9,PC1,10,435.39991341921353,positive,Anaerotruncus colihominis et rel.
10,PC1,11,419.91040098223993,negative,Anaerovorax odorimutans et rel.
11,PC1,12,0.7657824940456335,negative,Aneurinibacillus
12,PC1,13,6.159073898467721,positive,Aquabacterium
13,PC1,14,0.20581334211872712,positive,Asteroleplasma et rel.
14,PC1,15,0.8170553793765771,negative,Atopobium
15,PC1,16,0.2290567227040077,negative,Bacillus
16,PC1,17,946.9542347284312,positive,Bacteroides fragilis et rel.
17,PC1,18,32.43533953223641,negative,Bacteroides intestinalis et rel.
18,PC1,19,525.180243949082,negative,Bacteroides ovatus et rel.
19,PC1,20,200.87128993929858,positive,Bacteroides plebeius et rel.
20,PC1,21,491.97283993054776,positive,Bacteroides splachnicus et rel.
21,PC1,22,53.6776244031247,negative,Bacteroides stercoris et rel.
22,PC1,23,150.7477372508663,positive,Bacteroides uniformis et rel.
23,PC1,24,4210.70475892283,positive,Bacteroides vulgatus et rel.
24,PC1,25,600.4788516594567,negative,Bifidobacterium
25,PC1,26,25.70294332313554,positive,Bilophila et rel.
26,PC1,27,0.5398035027641762,positive,Brachyspira
27,PC1,28,112.94054030950471,positive,Bryantella formatexigens et rel.
28,PC1,29,1.1478346700549027,positive,Bulleidia moorei et rel.
29,PC1,30,96.61931363152404,positive,Burkholderia
30,PC1,31,1117.5718148506576,positive,Butyrivibrio crossotus et rel.
31,PC1,32,0.0705287925836945,positive,Campylobacter
32,PC1,33,119.85265205183785,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,171.618042701426,negative,Clostridium (sensu stricto)
34,PC1,35,4903.983519721579,positive,Clostridium cellulosi et rel.
35,PC1,36,102.40352521792366,positive,Clostridium colinum et rel.
36,PC1,37,1172.2369871199278,negative,Clostridium difficile et rel.
37,PC1,38,0.13278443558064731,positive,Clostridium felsineum et rel.
38,PC1,39,482.9473629929877,negative,Clostridium leptum et rel.
39,PC1,40,902.0041258908288,negative,Clostridium nexile et rel.
40,PC1,41,2196.236721436879,negative,Clostridium orbiscindens et rel.
41,PC1,42,98.05130228777101,negative,Clostridium ramosum et rel.
42,PC1,43,912.2494500683246,positive,Clostridium sphenoides et rel.
43,PC1,44,659.1604354010743,negative,Clostridium stercorarium et rel.
44,PC1,45,323.0455852750769,positive,Clostridium symbiosum et rel.
45,PC1,46,0.36920769562375494,positive,Clostridium thermocellum et rel.
46,PC1,47,46.706613611371495,negative,Collinsella
47,PC1,48,144.88345401269902,negative,Coprobacillus catenaformis et rel.
48,PC1,49,3704.904693341599,negative,Coprococcus eutactus et rel.
49,PC1,50,1.9026350678079087,positive,Corynebacterium
50,PC1,51,4.4932066703955424,positive,Desulfovibrio et rel.
51,PC1,52,364.8106695411326,negative,Dialister
52,PC1,53,1747.8015553139899,negative,Dorea formicigenerans et rel.
53,PC1,54,6.919233498066486,positive,Eggerthella lenta et rel.
54,PC1,55,632.4734139811459,positive,Enterobacter aerogenes et rel.
55,PC1,56,5.1886282538681,negative,Enterococcus
56,PC1,57,2590.890160205872,negative,Escherichia coli et rel.
57,PC1,58,251.01295201992707,positive,Eubacterium biforme et rel.
58,PC1,59,454.3891747740772,negative,Eubacterium cylindroides et rel.
59,PC1,60,3373.5055239382777,negative,Eubacterium hallii et rel.
60,PC1,61,17.595247903969515,negative,Eubacterium limosum et rel.
61,PC1,62,451.6052990660783,positive,Eubacterium rectale et rel.
62,PC1,63,42.476012405527406,negative,Eubacterium siraeum et rel.
63,PC1,64,310.9545888391293,negative,Eubacterium ventriosum et rel.
64,PC1,65,9418.63556550204,negative,Faecalibacterium prausnitzii et rel.
65,PC1,66,2.733809822613492,positive,Fusobacteria
66,PC1,67,0.6003570518683224,negative,Gemella
67,PC1,68,1.0920100811730895,negative,Granulicatella
68,PC1,69,3.017394285626161,negative,Haemophilus
69,PC1,70,0.8661842165754094,positive,Helicobacter
70,PC1,71,155.5707676077676,positive,Klebisiella pneumoniae et rel.
71,PC1,72,104.92314251393069,positive,Lachnobacillus bovis et rel.
72,PC1,73,497.3257495867974,negative,Lachnospira pectinoschiza et rel.
73,PC1,74,14.511935514208723,negative,Lactobacillus catenaformis et rel.
74,PC1,75,9.8665950134476,positive,Lactobacillus gasseri et rel.
75,PC1,76,10.494515045483494,negative,Lactobacillus plantarum et rel.
76,PC1,77,0.5694324157849361,negative,Lactobacillus salivarius et rel.
77,PC1,78,11.324931754971361,negative,Lactococcus
78,PC1,79,9.689096156583808,positive,Leminorella
79,PC1,80,102.50585256306398,positive,Megamonas hypermegale et rel.
80,PC1,81,69.1778039869502,positive,Megasphaera elsdenii et rel.
81,PC1,82,0.6793861370987883,positive,Methylobacterium
82,PC1,83,0.3561911830128152,positive,Micrococcaceae
83,PC1,84,2.528445047970809,positive,Mitsuokella multiacida et rel.
84,PC1,85,0.9807679182639673,positive,Moraxellaceae
85,PC1,86,0.8249553853090509,positive,Novosphingobium
86,PC1,87,5.73469849021508,negative,Oceanospirillum
87,PC1,88,125.79754936102015,negative,Oscillospira guillermondii et rel.
88,PC1,89,13.631665796089148,positive,Outgrouping clostridium cluster XIVa
89,PC1,90,549.7827048344458,positive,Oxalobacter formigenes et rel.
90,PC1,91,835.7219698074051,negative,Papillibacter cinnamivorans et rel.
91,PC1,92,1869.3086412985933,positive,Parabacteroides distasonis et rel.
92,PC1,93,27.385162169951705,negative,Peptococcus niger et rel.
93,PC1,94,0.2736367112437581,negative,Peptostreptococcus anaerobius et rel.
94,PC1,95,1.1396416953787856,positive,Peptostreptococcus micros et rel.
95,PC1,96,451.27028853296514,negative,Phascolarctobacterium faecium et rel.
96,PC1,97,190287.20370359335,positive,Prevotella melaninogenica et rel.
97,PC1,98,26739.8384949134,positive,Prevotella oralis et rel.
98,PC1,99,63.42305545971132,positive,Prevotella ruminicola et rel.
99,PC1,100,235.44139018587012,positive,Prevotella tannerae et rel.
100,PC1,101,3.1465400165118935,positive,Propionibacterium
101,PC1,102,0.2189271767195368,negative,Proteus et rel.
102,PC1,103,0.6820885706135831,positive,Pseudomonas
103,PC1,104,43.571416158684315,negative,Roseburia intestinalis et rel.
104,PC1,105,1531.0611106372799,negative,Ruminococcus bromii et rel.
105,PC1,106,127.79466921869809,negative,Ruminococcus callidus et rel.
106,PC1,107,492.24423222612546,negative,Ruminococcus gnavus et rel.
107,PC1,108,79.34328171210183,negative,Ruminococcus lactaris et rel.
108,PC1,109,18174.664519006776,negative,Ruminococcus obeum et rel.
109,PC1,110,8.77712919725771,negative,Serratia
110,PC1,111,277.4167535973459,negative,Sporobacter termitidis et rel.
111,PC1,112,0.33242973568730294,positive,Staphylococcus
112,PC1,113,108.87979571923685,negative,Streptococcus bovis et rel.
113,PC1,114,33.57281179109382,negative,Streptococcus intermedius et rel.
114,PC1,115,197.26874155792848,negative,Streptococcus mitis et rel.
115,PC1,116,1443.481124520029,negative,Subdoligranulum variable at rel.
116,PC1,117,2352.6900462849267,positive,Sutterella wadsworthia et rel.
117,PC1,118,362.271691080104,positive,Tannerella et rel.
118,PC1,119,7.169558377005831,positive,Uncultured Bacteroidetes
119,PC1,120,0.4131186226467496,negative,Uncultured Chroococcales
120,PC1,121,599.3595351098692,negative,Uncultured Clostridium (sensu stricto)les I
121,PC1,122,19.67101892077653,negative,Uncultured Clostridium (sensu stricto)les II
122,PC1,123,196.45058661803168,negative,Uncultured Mollicutes
123,PC1,124,17.422476933562677,negative,Uncultured Selenomonadaceae
124,PC1,125,10.797006284132605,positive,Veillonella
125,PC1,126,21.230902147469564,positive,Vibrio
126,PC1,127,19.38670128379428,positive,Weissella et rel.
127,PC1,128,2.7624664202304947,negative,Wissella et rel.
128,PC1,129,98.20685408687723,positive,Xanthomonadaceae
129,PC1,130,7.174265544957264,positive,Yersinia et rel.
130,PC2,1,1.6257871065396243,positive,Actinomycetaceae
131,PC2,2,2.4655345609640436,positive,Aerococcus
132,PC2,3,1.308189792841984,negative,Aeromonas
133,PC2,4,1922.4523662745103,positive,Akkermansia
134,PC2,5,12.929963981119329,positive,Alcaligenes faecalis et rel.
135,PC2,6,15807.489767334482,positive,Allistipes et rel.
136,PC2,7,4.593519798820053,positive,Anaerobiospirillum
137,PC2,8,25.037959456521833,negative,Anaerofustis
138,PC2,9,10157.606260330516,negative,Anaerostipes caccae et rel.
139,PC2,10,1290.1489707885999,positive,Anaerotruncus colihominis et rel.
140,PC2,11,770.4503340829646,negative,Anaerovorax odorimutans et rel.
141,PC2,12,1.7698951716874893,negative,Aneurinibacillus
142,PC2,13,3.3346046355305687,positive,Aquabacterium
143,PC2,14,1.191283550102942,positive,Asteroleplasma et rel.
144,PC2,15,0.5055434325080956,positive,Atopobium
145,PC2,16,2.8897607062987634,positive,Bacillus
146,PC2,17,6377.46650835663,positive,Bacteroides fragilis et rel.
147,PC2,18,610.5645953667637,positive,Bacteroides intestinalis et rel.
148,PC2,19,6311.178390595637,positive,Bacteroides ovatus et rel.
149,PC2,20,1723.3379663103494,positive,Bacteroides plebeius et rel.
150,PC2,21,752.5222502971833,positive,Bacteroides splachnicus et rel.
151,PC2,22,1180.8376195075157,positive,Bacteroides stercoris et rel.
152,PC2,23,3410.5764457838695,positive,Bacteroides uniformis et rel.
153,PC2,24,60989.07649249061,positive,Bacteroides vulgatus et rel.
154,PC2,25,1288.4783274550452,negative,Bifidobacterium
155,PC2,26,34.884217892471966,positive,Bilophila et rel.
156,PC2,27,3.7378386186916073,positive,Brachyspira
157,PC2,28,5394.348210970254,positive,Bryantella formatexigens et rel.
158,PC2,29,21.28319192615051,positive,Bulleidia moorei et rel.
159,PC2,30,37.33376738542537,positive,Burkholderia
160,PC2,31,787.3710959758206,negative,Butyrivibrio crossotus et rel.
161,PC2,32,11.049962705370154,positive,Campylobacter
162,PC2,33,198.8040795768167,positive,Catenibacterium mitsuokai et rel.
163,PC2,34,233.4195227322571,negative,Clostridium (sensu stricto)
164,PC2,35,21476.228916258362,positive,Clostridium cellulosi et rel.
165,PC2,36,362.76577339012186,positive,Clostridium colinum et rel.
166,PC2,37,1892.9807020952621,negative,Clostridium difficile et rel.
167,PC2,38,1.544060153153693,positive,Clostridium felsineum et rel.
168,PC2,39,631.6388344129078,negative,Clostridium leptum et rel.
169,PC2,40,3027.1750925692813,negative,Clostridium nexile et rel.
170,PC2,41,4090.1904311598805,negative,Clostridium orbiscindens et rel.
171,PC2,42,135.64643992433963,negative,Clostridium ramosum et rel.
172,PC2,43,867.6034189044556,negative,Clostridium sphenoides et rel.
173,PC2,44,1288.4248950424596,negative,Clostridium stercorarium et rel.
174,PC2,45,2141.9034801903995,positive,Clostridium symbiosum et rel.
175,PC2,46,1.59360811614189,positive,Clostridium thermocellum et rel.
176,PC2,47,144.95127712604491,negative,Collinsella
177,PC2,48,64.65065090045785,negative,Coprobacillus catenaformis et rel.
178,PC2,49,12876.15006974072,negative,Coprococcus eutactus et rel.
179,PC2,50,4.889506504557055,positive,Corynebacterium
180,PC2,51,166.29053581874098,positive,Desulfovibrio et rel.
181,PC2,52,7572.19133945215,positive,Dialister
182,PC2,53,5615.4107020920865,negative,Dorea formicigenerans et rel.
