,PC,bacteria_id,loading,sign,bacteria_name
0,PC1,1,2.156377265338778,positive,Actinomycetaceae
1,PC1,2,0.23202374062150086,negative,Aerococcus
2,PC1,3,0.8114290696667109,negative,Aeromonas
3,PC1,4,425.75413996913613,negative,Akkermansia
4,PC1,5,77.71143406494284,positive,Alcaligenes faecalis et rel.
5,PC1,6,636.3199066241377,positive,Allistipes et rel.
6,PC1,7,0.054123272921641576,positive,Anaerobiospirillum
7,PC1,8,4.1038599560034195,negative,Anaerofustis
8,PC1,9,2255.858596033679,negative,Anaerostipes caccae et rel.
9,PC1,10,86.70126335558062,positive,Anaerotruncus colihominis et rel.
10,PC1,11,205.55300860119905,negative,Anaerovorax odorimutans et rel.
11,PC1,12,1.2227302682750962,negative,Aneurinibacillus
12,PC1,13,14.597832607586298,positive,Aquabacterium
13,PC1,14,0.13263758911274762,negative,Asteroleplasma et rel.
14,PC1,15,2.1293708133871037,negative,Atopobium
15,PC1,16,1.4496223089280003,negative,Bacillus
16,PC1,17,663.8567458798416,negative,Bacteroides fragilis et rel.
17,PC1,18,86.25140763410883,negative,Bacteroides intestinalis et rel.
18,PC1,19,95.55714019547428,negative,Bacteroides ovatus et rel.
19,PC1,20,186.37857323987677,positive,Bacteroides plebeius et rel.
20,PC1,21,169.5434150022198,positive,Bacteroides splachnicus et rel.
21,PC1,22,77.97630332652122,negative,Bacteroides stercoris et rel.
22,PC1,23,777.196332472706,negative,Bacteroides uniformis et rel.
23,PC1,24,338.82628685468717,negative,Bacteroides vulgatus et rel.
24,PC1,25,2481.606011196803,negative,Bifidobacterium
25,PC1,26,3.3802534061127765,positive,Bilophila et rel.
26,PC1,27,0.258703727303337,positive,Brachyspira
27,PC1,28,353.25243186448677,negative,Bryantella formatexigens et rel.
28,PC1,29,2.889727705451101,negative,Bulleidia moorei et rel.
29,PC1,30,27.74846137132219,positive,Burkholderia
30,PC1,31,246.15875015547036,positive,Butyrivibrio crossotus et rel.
31,PC1,32,0.1288893298590998,positive,Campylobacter
32,PC1,33,78.0723107079558,positive,Catenibacterium mitsuokai et rel.
33,PC1,34,99.16759781054525,negative,Clostridium (sensu stricto)
34,PC1,35,1086.3957347427026,negative,Clostridium cellulosi et rel.
